ArraySize;StandardMergeSort;HybridMergeSort5;HybridMergeSort10;HybridMergeSort20;HybridMergeSort30;HybridMergeSort50;HybridMergeSort100
26800;10948;6288;5121;4290;3718;3757;3318
26900;11025;6332;5102;4274;3795;3758;3337
27000;11005;6318;5088;4309;3753;3782;3374
27100;11172;6484;5249;4381;3973;3968;3353
27200;11298;6369;5346;4344;3775;3790;3403
27300;11118;6401;5141;4362;3790;3805;3373
27400;11217;6493;5163;4398;3807;3805;3406
27500;11163;6405;5225;4362;3806;3898;3419
27600;11551;6410;5230;4420;3858;3843;3551
27700;11367;6439;5218;4486;3842;3875;3420
27800;11923;7763;5250;4450;3856;3907;3521
27900;11365;6457;5257;4462;3903;3864;3463
28000;11322;6483;5256;4495;4015;3906;3484
28100;12105;6789;5404;4836;4324;3928;3477
28200;11433;6534;5273;4501;4006;3930;3499
28300;11462;6562;5312;4558;3928;3918;3492
28400;11532;6525;5340;4501;4025;3959;3684
28500;11618;6502;5414;4514;4090;4044;3587
28600;11526;6514;5296;4552;3970;4107;3571
28700;11745;6591;5508;4590;4004;4032;3582
28800;11678;6642;5411;4640;4173;3987;3543
28900;11765;6648;5398;4567;4089;4143;3602
29000;11727;6643;5407;4582;4010;4049;3600
29100;12165;6843;5619;4729;4111;4071;3636
29200;11984;6697;5444;4688;4055;4032;3622
29300;11832;6681;5444;4626;4080;4107;3609
29400;11904;6722;5584;4715;4083;4087;3621
29500;11890;6723;5463;4679;4196;4128;3643
29600;12034;6820;5577;4689;4128;4129;3803
29700;12150;6745;5536;4694;7591;4122;3682
29800;12132;6879;5525;4764;4113;4111;3732
29900;12266;6799;5517;4736;4156;4144;3678
30000;12305;6812;5707;4766;4189;4170;3713
30100;12328;6867;5555;4794;4164;4166;3777
30200;12953;6945;5585;4803;4214;4190;3729
30300;12328;6865;5586;4821;4207;4191;3796
30400;13213;6910;5589;4790;4224;4284;3771
30500;12601;6875;5601;4834;4214;4206;3763
30600;12588;6869;5615;4830;4222;4198;3828
30700;12574;6913;5593;4843;4228;4249;3813
30800;12699;7040;5654;4860;4318;4261;3816
30900;12584;6990;5712;4842;4406;4242;3820
31000;12556;7002;5739;4943;4456;4362;3848
31100;12555
